[2025-02-09T17:36:43.858+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T17:36:44.003+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-10T00:00:00+00:00 [queued]>
[2025-02-09T17:36:44.011+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-10T00:00:00+00:00 [queued]>
[2025-02-09T17:36:44.013+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T17:36:44.033+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-11-10 00:00:00+00:00
[2025-02-09T17:36:44.041+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=469) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T17:36:44.042+0000] {standard_task_runner.py:72} INFO - Started process 478 to run task
[2025-02-09T17:36:44.041+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-11-10T00:00:00+00:00', '--job-id', '574', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpzgs70_hq']
[2025-02-09T17:36:44.042+0000] {standard_task_runner.py:105} INFO - Job 574: Subtask generate_txn_fact_data
[2025-02-09T17:36:44.092+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-10T00:00:00+00:00 [running]> on host 3aeaa30cef4e
[2025-02-09T17:36:44.165+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-10T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-10T00:00:00+00:00'
[2025-02-09T17:36:44.166+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T17:36:44.183+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:36:44.184+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T17:36:44.185+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:36:44.287+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T17:36:44.287+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T17:36:44.292+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1724866604290, 'account_id': 'C00845', 'customer_id': 'C00751', 'transaction_type': 'Withdrawal', 'branch_id': 'C00495', 'currency': 'EUR', 'transaction_amount': 8942.91, 'exchange_rate': 1.4029}
[2025-02-09T17:36:44.294+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1709141804294, 'account_id': 'C00015', 'customer_id': 'C00087', 'transaction_type': 'Credit', 'branch_id': 'C00223', 'currency': 'USD', 'transaction_amount': 7359.12, 'exchange_rate': 0.6731}
[2025-02-09T17:36:44.294+0000] {conn.py:362} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:36:44.295+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1722706604295, 'account_id': 'C00685', 'customer_id': 'C00591', 'transaction_type': 'Credit', 'branch_id': 'C00308', 'currency': 'EUR', 'transaction_amount': 969.29, 'exchange_rate': 1.1835}
[2025-02-09T17:36:44.297+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1715017004297, 'account_id': 'C00633', 'customer_id': 'C00888', 'transaction_type': 'Debit', 'branch_id': 'C00324', 'currency': 'EUR', 'transaction_amount': 2126.38, 'exchange_rate': 0.8327}
[2025-02-09T17:36:44.298+0000] {conn.py:393} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:36:44.299+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1717868204299, 'account_id': 'C00135', 'customer_id': 'C00513', 'transaction_type': 'Credit', 'branch_id': 'C00426', 'currency': 'USD', 'transaction_amount': 9694.49, 'exchange_rate': 0.5018}
[2025-02-09T17:36:44.299+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
[2025-02-09T17:36:44.301+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1710351404301, 'account_id': 'C00420', 'customer_id': 'C00876', 'transaction_type': 'Debit', 'branch_id': 'C00313', 'currency': 'EUR', 'transaction_amount': 747.42, 'exchange_rate': 1.4327}
[2025-02-09T17:36:44.305+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1729791404304, 'account_id': 'C00731', 'customer_id': 'C00937', 'transaction_type': 'Debit', 'branch_id': 'C00432', 'currency': 'EUR', 'transaction_amount': 8468.79, 'exchange_rate': 0.5014}
[2025-02-09T17:36:44.307+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1721842604306, 'account_id': 'C00168', 'customer_id': 'C00341', 'transaction_type': 'Transfer', 'branch_id': 'C00775', 'currency': 'EUR', 'transaction_amount': 4704.1, 'exchange_rate': 1.3957}
[2025-02-09T17:36:44.310+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1722965804309, 'account_id': 'C00434', 'customer_id': 'C00864', 'transaction_type': 'Withdrawal', 'branch_id': 'C00829', 'currency': 'USD', 'transaction_amount': 6030.57, 'exchange_rate': 1.2038}
