[2025-02-09T17:37:18.785+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T17:37:18.932+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-06T00:00:00+00:00 [queued]>
[2025-02-09T17:37:18.939+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-06T00:00:00+00:00 [queued]>
[2025-02-09T17:37:18.940+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T17:37:18.956+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-01-06 00:00:00+00:00
[2025-02-09T17:37:18.964+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=739) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T17:37:18.966+0000] {standard_task_runner.py:72} INFO - Started process 745 to run task
[2025-02-09T17:37:18.965+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-01-06T00:00:00+00:00', '--job-id', '632', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpg6qhyo0l']
[2025-02-09T17:37:18.966+0000] {standard_task_runner.py:105} INFO - Job 632: Subtask generate_txn_fact_data
[2025-02-09T17:37:19.008+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-06T00:00:00+00:00 [running]> on host 3aeaa30cef4e
[2025-02-09T17:37:19.094+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-01-06T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-06T00:00:00+00:00'
[2025-02-09T17:37:19.095+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T17:37:19.114+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:37:19.114+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T17:37:19.115+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:37:19.217+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T17:37:19.218+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T17:37:19.223+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1714844239221, 'account_id': 'C00803', 'customer_id': 'C00480', 'transaction_type': 'Credit', 'branch_id': 'C00694', 'currency': 'USD', 'transaction_amount': 3577.77, 'exchange_rate': 1.3764}
[2025-02-09T17:37:19.225+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1728322639225, 'account_id': 'C00058', 'customer_id': 'C00565', 'transaction_type': 'Withdrawal', 'branch_id': 'C00943', 'currency': 'USD', 'transaction_amount': 7684.44, 'exchange_rate': 0.5408}
[2025-02-09T17:37:19.225+0000] {conn.py:362} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:37:19.227+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1714585039227, 'account_id': 'C00824', 'customer_id': 'C00713', 'transaction_type': 'Deposit', 'branch_id': 'C00356', 'currency': 'USD', 'transaction_amount': 9960.69, 'exchange_rate': 0.7231}
[2025-02-09T17:37:19.228+0000] {conn.py:393} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:37:19.229+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1734370639229, 'account_id': 'C00114', 'customer_id': 'C00167', 'transaction_type': 'Transfer', 'branch_id': 'C00530', 'currency': 'GBP', 'transaction_amount': 3728.88, 'exchange_rate': 0.5467}
[2025-02-09T17:37:19.230+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
[2025-02-09T17:37:19.231+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1720373839231, 'account_id': 'C00439', 'customer_id': 'C00535', 'transaction_type': 'Transfer', 'branch_id': 'C00652', 'currency': 'USD', 'transaction_amount': 7923.08, 'exchange_rate': 0.5705}
[2025-02-09T17:37:19.235+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1716226639234, 'account_id': 'C00360', 'customer_id': 'C00359', 'transaction_type': 'Withdrawal', 'branch_id': 'C00404', 'currency': 'GBP', 'transaction_amount': 5877.98, 'exchange_rate': 1.0263}
[2025-02-09T17:37:19.237+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1728841039236, 'account_id': 'C00328', 'customer_id': 'C00345', 'transaction_type': 'Credit', 'branch_id': 'C00930', 'currency': 'EUR', 'transaction_amount': 3988.7, 'exchange_rate': 1.4528}
[2025-02-09T17:37:19.239+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1722447439238, 'account_id': 'C00174', 'customer_id': 'C00082', 'transaction_type': 'Transfer', 'branch_id': 'C00628', 'currency': 'GBP', 'transaction_amount': 4310.62, 'exchange_rate': 1.0704}
[2025-02-09T17:37:19.241+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1717177039241, 'account_id': 'C00364', 'customer_id': 'C00548', 'transaction_type': 'Withdrawal', 'branch_id': 'C00638', 'currency': 'GBP', 'transaction_amount': 1668.12, 'exchange_rate': 0.6048}
