[2025-02-09T17:37:27.996+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T17:37:28.148+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-24T00:00:00+00:00 [queued]>
[2025-02-09T17:37:28.156+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-24T00:00:00+00:00 [queued]>
[2025-02-09T17:37:28.157+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T17:37:28.171+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2025-01-24 00:00:00+00:00
[2025-02-09T17:37:28.179+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=813) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T17:37:28.180+0000] {standard_task_runner.py:72} INFO - Started process 822 to run task
[2025-02-09T17:37:28.179+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2025-01-24T00:00:00+00:00', '--job-id', '651', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpssg5tmg7']
[2025-02-09T17:37:28.181+0000] {standard_task_runner.py:105} INFO - Job 651: Subtask generate_txn_fact_data
[2025-02-09T17:37:28.272+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2025-01-24T00:00:00+00:00 [running]> on host 3aeaa30cef4e
[2025-02-09T17:37:28.497+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2025-01-24T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-01-24T00:00:00+00:00'
[2025-02-09T17:37:28.501+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T17:37:28.550+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:37:28.551+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T17:37:28.553+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:37:28.655+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T17:37:28.657+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T17:37:28.662+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1730050648660, 'account_id': 'C00430', 'customer_id': 'C00576', 'transaction_type': 'Debit', 'branch_id': 'C00242', 'currency': 'GBP', 'transaction_amount': 7902.43, 'exchange_rate': 0.6602}
[2025-02-09T17:37:28.664+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1736357848663, 'account_id': 'C00142', 'customer_id': 'C00751', 'transaction_type': 'Deposit', 'branch_id': 'C00284', 'currency': 'USD', 'transaction_amount': 373.51, 'exchange_rate': 1.0949}
[2025-02-09T17:37:28.665+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1738517848665, 'account_id': 'C00374', 'customer_id': 'C00749', 'transaction_type': 'Debit', 'branch_id': 'C00069', 'currency': 'EUR', 'transaction_amount': 1686.62, 'exchange_rate': 1.1796}
[2025-02-09T17:37:28.666+0000] {conn.py:362} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:37:28.667+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1709573848667, 'account_id': 'C00774', 'customer_id': 'C00931', 'transaction_type': 'Debit', 'branch_id': 'C00411', 'currency': 'GBP', 'transaction_amount': 4872.19, 'exchange_rate': 1.3025}
[2025-02-09T17:37:28.668+0000] {conn.py:393} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:37:28.669+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1718991448669, 'account_id': 'C00953', 'customer_id': 'C00516', 'transaction_type': 'Transfer', 'branch_id': 'C00082', 'currency': 'EUR', 'transaction_amount': 9904.23, 'exchange_rate': 1.2406}
[2025-02-09T17:37:28.670+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
[2025-02-09T17:37:28.671+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1721324248671, 'account_id': 'C00936', 'customer_id': 'C00993', 'transaction_type': 'Credit', 'branch_id': 'C00660', 'currency': 'EUR', 'transaction_amount': 2676.82, 'exchange_rate': 0.5694}
[2025-02-09T17:37:28.677+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1737394648676, 'account_id': 'C00816', 'customer_id': 'C00166', 'transaction_type': 'Deposit', 'branch_id': 'C00990', 'currency': 'EUR', 'transaction_amount': 4502.83, 'exchange_rate': 1.2134}
[2025-02-09T17:37:28.680+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1721151448680, 'account_id': 'C00430', 'customer_id': 'C00045', 'transaction_type': 'Withdrawal', 'branch_id': 'C00314', 'currency': 'GBP', 'transaction_amount': 5953.06, 'exchange_rate': 1.4035}
[2025-02-09T17:37:28.683+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1734889048683, 'account_id': 'C00945', 'customer_id': 'C00602', 'transaction_type': 'Deposit', 'branch_id': 'C00811', 'currency': 'GBP', 'transaction_amount': 5463.63, 'exchange_rate': 0.8118}
