[2025-02-09T17:36:35.166+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T17:36:35.383+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-01T00:00:00+00:00 [queued]>
[2025-02-09T17:36:35.394+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-01T00:00:00+00:00 [queued]>
[2025-02-09T17:36:35.409+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T17:36:35.459+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-11-01 00:00:00+00:00
[2025-02-09T17:36:35.473+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=412) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T17:36:35.474+0000] {standard_task_runner.py:72} INFO - Started process 421 to run task
[2025-02-09T17:36:35.478+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-11-01T00:00:00+00:00', '--job-id', '565', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmpikj8jcb3']
[2025-02-09T17:36:35.480+0000] {standard_task_runner.py:105} INFO - Job 565: Subtask generate_txn_fact_data
[2025-02-09T17:36:35.570+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-01T00:00:00+00:00 [running]> on host 3aeaa30cef4e
[2025-02-09T17:36:35.720+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-01T00:00:00+00:00'
[2025-02-09T17:36:35.768+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T17:36:35.788+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:36:35.846+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T17:36:35.849+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:36:35.952+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T17:36:35.953+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T17:36:35.963+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1708796195960, 'account_id': 'C00364', 'customer_id': 'C00586', 'transaction_type': 'Transfer', 'branch_id': 'C00445', 'currency': 'GBP', 'transaction_amount': 3738.21, 'exchange_rate': 0.8289}
[2025-02-09T17:36:35.967+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1736962595966, 'account_id': 'C00694', 'customer_id': 'C00236', 'transaction_type': 'Deposit', 'branch_id': 'C00820', 'currency': 'EUR', 'transaction_amount': 427.12, 'exchange_rate': 0.7325}
[2025-02-09T17:36:35.968+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1711301795968, 'account_id': 'C00293', 'customer_id': 'C00100', 'transaction_type': 'Transfer', 'branch_id': 'C00533', 'currency': 'GBP', 'transaction_amount': 5366.61, 'exchange_rate': 0.7425}
[2025-02-09T17:36:35.971+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1724866595971, 'account_id': 'C00346', 'customer_id': 'C00901', 'transaction_type': 'Credit', 'branch_id': 'C00825', 'currency': 'GBP', 'transaction_amount': 943.29, 'exchange_rate': 1.1262}
[2025-02-09T17:36:35.972+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1737135395972, 'account_id': 'C00145', 'customer_id': 'C00177', 'transaction_type': 'Transfer', 'branch_id': 'C00302', 'currency': 'GBP', 'transaction_amount': 4314.29, 'exchange_rate': 1.0849}
[2025-02-09T17:36:35.975+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1732988195975, 'account_id': 'C00309', 'customer_id': 'C00237', 'transaction_type': 'Transfer', 'branch_id': 'C00746', 'currency': 'EUR', 'transaction_amount': 8180.9, 'exchange_rate': 0.5777}
[2025-02-09T17:36:35.976+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1734284195976, 'account_id': 'C00081', 'customer_id': 'C00379', 'transaction_type': 'Debit', 'branch_id': 'C00711', 'currency': 'USD', 'transaction_amount': 4913.77, 'exchange_rate': 1.2798}
[2025-02-09T17:36:35.979+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1713634595979, 'account_id': 'C00509', 'customer_id': 'C00914', 'transaction_type': 'Credit', 'branch_id': 'C00833', 'currency': 'EUR', 'transaction_amount': 3916.55, 'exchange_rate': 0.7983}
[2025-02-09T17:36:35.983+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1729791395983, 'account_id': 'C00354', 'customer_id': 'C00741', 'transaction_type': 'Withdrawal', 'branch_id': 'C00658', 'currency': 'USD', 'transaction_amount': 5655.53, 'exchange_rate': 1.2178}
[2025-02-09T17:36:35.986+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1730223395986, 'account_id': 'C00253', 'customer_id': 'C00152', 'transaction_type': 'Transfer', 'branch_id': 'C00533', 'currency': 'GBP', 'transaction_amount': 7748.15, 'exchange_rate': 1.1626}
[2025-02-09T17:36:35.975+0000] {conn.py:362} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:36:35.990+0000] {conn.py:393} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:36:35.992+0000] {conn.py:673} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.4', 9092)]>: Closing connection. 
