[2025-02-09T17:36:36.407+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-09T17:36:36.613+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-05T00:00:00+00:00 [queued]>
[2025-02-09T17:36:36.624+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-05T00:00:00+00:00 [queued]>
[2025-02-09T17:36:36.625+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2025-02-09T17:36:36.643+0000] {taskinstance.py:2888} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-11-05 00:00:00+00:00
[2025-02-09T17:36:36.655+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-11-05T00:00:00+00:00', '--job-id', '569', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp28m4_w_2']
[2025-02-09T17:36:36.658+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=428) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-09T17:36:36.658+0000] {standard_task_runner.py:105} INFO - Job 569: Subtask generate_txn_fact_data
[2025-02-09T17:36:36.658+0000] {standard_task_runner.py:72} INFO - Started process 435 to run task
[2025-02-09T17:36:36.716+0000] {task_command.py:467} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-11-05T00:00:00+00:00 [running]> on host 3aeaa30cef4e
[2025-02-09T17:36:36.842+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Saleh' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-05T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-05T00:00:00+00:00'
[2025-02-09T17:36:36.843+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-09T17:36:36.867+0000] {conn.py:362} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.4', 9092) IPv4]
[2025-02-09T17:36:36.868+0000] {conn.py:957} INFO - Probing node bootstrap-0 broker version
[2025-02-09T17:36:36.870+0000] {conn.py:393} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.4', 9092)]>: Connection complete.
[2025-02-09T17:36:36.972+0000] {conn.py:1019} INFO - Broker version identified as 2.5.0
[2025-02-09T17:36:36.973+0000] {conn.py:1020} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2025-02-09T17:36:36.986+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1714498596984, 'account_id': 'C00239', 'customer_id': 'C00992', 'transaction_type': 'Deposit', 'branch_id': 'C00035', 'currency': 'EUR', 'transaction_amount': 3621.17, 'exchange_rate': 0.8975}
[2025-02-09T17:36:36.988+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1718040996988, 'account_id': 'C00691', 'customer_id': 'C00424', 'transaction_type': 'Transfer', 'branch_id': 'C00120', 'currency': 'USD', 'transaction_amount': 171.61, 'exchange_rate': 0.5109}
[2025-02-09T17:36:36.989+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1731519396989, 'account_id': 'C00118', 'customer_id': 'C00718', 'transaction_type': 'Credit', 'branch_id': 'C00909', 'currency': 'USD', 'transaction_amount': 6326.85, 'exchange_rate': 0.5948}
[2025-02-09T17:36:36.994+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1729272996993, 'account_id': 'C00702', 'customer_id': 'C00868', 'transaction_type': 'Transfer', 'branch_id': 'C00291', 'currency': 'GBP', 'transaction_amount': 3296.07, 'exchange_rate': 1.3704}
[2025-02-09T17:36:36.995+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1716399396995, 'account_id': 'C00323', 'customer_id': 'C00938', 'transaction_type': 'Credit', 'branch_id': 'C00717', 'currency': 'USD', 'transaction_amount': 7491.51, 'exchange_rate': 1.0633}
[2025-02-09T17:36:36.997+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1712252196997, 'account_id': 'C00522', 'customer_id': 'C00456', 'transaction_type': 'Withdrawal', 'branch_id': 'C00149', 'currency': 'USD', 'transaction_amount': 9963.35, 'exchange_rate': 0.6364}
[2025-02-09T17:36:36.999+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1736012196999, 'account_id': 'C00014', 'customer_id': 'C00626', 'transaction_type': 'Credit', 'branch_id': 'C00528', 'currency': 'GBP', 'transaction_amount': 3568.32, 'exchange_rate': 1.3687}
[2025-02-09T17:36:37.000+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1725557797000, 'account_id': 'C00534', 'customer_id': 'C00260', 'transaction_type': 'Deposit', 'branch_id': 'C00280', 'currency': 'GBP', 'transaction_amount': 9414.18, 'exchange_rate': 1.2661}
[2025-02-09T17:36:37.002+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1713893797002, 'account_id': 'C00959', 'customer_id': 'C00421', 'transaction_type': 'Withdrawal', 'branch_id': 'C00158', 'currency': 'GBP', 'transaction_amount': 1083.75, 'exchange_rate': 0.6709}
[2025-02-09T17:36:37.005+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1728754597005, 'account_id': 'C00848', 'customer_id': 'C00608', 'transaction_type': 'Deposit', 'branch_id': 'C00679', 'currency': 'USD', 'transaction_amount': 6461.66, 'exchange_rate': 0.633}
[2025-02-09T17:36:37.007+0000] {kafka_operator.py:71} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1715189797007, 'account_id': 'C00672', 'customer_id': 'C00871', 'transaction_type': 'Transfer', 'branch_id': 'C00416', 'currency': 'USD', 'transaction_amount': 4706.89, 'exchange_rate': 1.2634}
